Sample	Genome	Coverage	Resolution	Score
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	5000000	40000	0.0018730449224
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	5000000	200000	0.014250360948
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	5000000	1000000	0.0619517293008
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	10000000	40000	0.00535287995079
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	10000000	200000	0.0293907014399
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	10000000	1000000	0.0790353521469
Encode_hg38_T47D_HindIII_Rep1	hg38	0	40000	0.0263235198026
Encode_hg38_T47D_HindIII_Rep1	hg38	0	200000	0.0924362211256
Encode_hg38_T47D_HindIII_Rep1	hg38	0	1000000	0.135310961557
Encode_hg38_T47D_HindIII_Rep1	hg38	1000000	40000	0.000302145605622
Encode_hg38_T47D_HindIII_Rep1	hg38	1000000	200000	0.0037917861717
Encode_hg38_T47D_HindIII_Rep1	hg38	1000000	1000000	0.0373858825892
Encode_hg38_T47D_HindIII_Rep1	hg38	2000000	40000	0.000846355644824
Encode_hg38_T47D_HindIII_Rep1	hg38	2000000	200000	0.0102169222627
Encode_hg38_T47D_HindIII_Rep1	hg38	2000000	1000000	0.0626353702842
Encode_hg38_T47D_HindIII_Rep1	hg38	5000000	40000	0.00351293841731
Encode_hg38_T47D_HindIII_Rep1	hg38	5000000	200000	0.0298336997288
Encode_hg38_T47D_HindIII_Rep1	hg38	5000000	1000000	0.097893428798
Encode_hg38_T47D_HindIII_Rep1	hg38	10000000	40000	0.00954047025042
Encode_hg38_T47D_HindIII_Rep1	hg38	10000000	200000	0.0551656656883
Encode_hg38_T47D_HindIII_Rep1	hg38	10000000	1000000	0.118813528766
Encode_hg38_T47D_HindIII_Rep1	hg38	20000000	40000	0.0224209851787
Encode_hg38_T47D_HindIII_Rep1	hg38	20000000	200000	0.0857519523893
Encode_hg38_T47D_HindIII_Rep1	hg38	20000000	1000000	0.133129925284
Encode_hg38_T47D_HindIII_Rep2	hg38	0	40000	0.0271450490563
Encode_hg38_T47D_HindIII_Rep2	hg38	0	200000	0.0946200498184
Encode_hg38_T47D_HindIII_Rep2	hg38	0	1000000	0.133091117454
Encode_hg38_T47D_HindIII_Rep2	hg38	1000000	40000	0.000274431520503
Encode_hg38_T47D_HindIII_Rep2	hg38	1000000	200000	0.00370677293654
Encode_hg38_T47D_HindIII_Rep2	hg38	1000000	1000000	0.0367686531214
Encode_hg38_T47D_HindIII_Rep2	hg38	2000000	40000	0.000780328504221
Encode_hg38_T47D_HindIII_Rep2	hg38	2000000	200000	0.00999678655963
Encode_hg38_T47D_HindIII_Rep2	hg38	2000000	1000000	0.0625150145868
Encode_hg38_T47D_HindIII_Rep2	hg38	5000000	40000	0.00326700623008
